1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Country Name,Country Code,Indicator Name,Indicator Code,data_country,data_year
,409.5440424,421.6113237,434.081601,446.9414919,460.1868249,473.7635861,487.9075747,502.4834908,516.9711377,530.5284935,539.8844434,550.3688945,566.3539525,582.6177153,598.0974956,613.4694476,628.9257433,644.4622801,660.1757087,676.1652608,693.7320811,713.0253284,732.3896059,751.4401629,770.1761158,788.4733195,806.3247369,823.6614274,840.6990781,857.5994238,874.1423446,890.7750787,907.5236998,924.5077898,941.8481217,959.2239302,977.1688484,995.7926711,1014.888722,1033.604548,1050.978029,1067.324714,1082.971122,1097.817131,1111.744534,1124.728993,1136.892356,1148.300407,1159.051348,1169.255443,1179.926834,1191.289091,1202.520865,1213.527917,1224.423285,1235.399339,1245.956419,1256.227264,1266.905239,1277.544934,1287.999186,1301.2591,,Bangladesh,BGD,Population density (people per sq. km of land area),EN.POP.DNST,,
,71.79895146,72.43013649,73.01947935,73.61782518,74.15861882,74.64572901,75.11729187,75.65400886,76.23765706,76.73844346,77.16166501,77.52146796,77.92612311,78.44838651,78.82800325,79.17019796,79.58223809,79.67126458,79.77890265,80.10065082,80.36804664,80.60613758,80.80753864,80.99682726,80.9956341,80.9741571,81.09336527,81.18454307,80.24018801,78.80583024,78.0291693,77.19573353,76.58241887,76.32279671,75.98361204,75.59275061,75.13394197,74.63424026,74.2169755,73.85132423,72.3957516,72.03272978,71.48411327,70.95310776,70.4986377,69.97166529,69.47185342,68.98592211,68.57445652,68.12453021,67.68909359,67.2981577,66.92257738,66.54327561,66.120035,65.65790346,65.18005711,64.71109985,64.25719418,63.87265107,63.35430177,61.1949521,,Bulgaria,BGR,Population density (people per sq. km of land area),EN.POP.DNST,,
,249.7768116,259.926087,270.2913043,280.8927536,291.1101449,300.7869565,310.4188406,317.8797101,322.4188406,325.8101449,334.3956522,350.8884058,370.0289855,389.9101449,410.4971014,431.6855072,453.3666667,475.4289855,497.7637681,520.257971,541.3391304,560.8449275,580.7347826,601.6724638,623.7072464,646.7913043,670.8028986,695.5492754,720.7637681,746.0826087,729.0608696,727.4056338,746.7957746,766.7126761,787.1535211,808.1577465,829.7394366,851.8901408,874.6323944,898.0028169,931.4309859,1000.778873,1061.829167,1128.412329,1201.110811,1297.87027,1385.726667,1451.968421,1550.546053,1612.261155,1558.044329,1570.083117,1627.520779,1705.009079,1761.339332,1827.632863,1924.507692,1931.993573,1902.251282,1875.419108,1904.259494,1929.991139,,Bahrain,BHR,Population density (people per sq. km of land area),EN.POP.DNST,,
,12.20749251,12.83646354,13.4952048,14.13866134,14.78041958,15.47192807,16.21048951,16.99190809,17.78031968,18.47972028,19.06663337,19.58591409,20.05904096,20.51368631,20.96763237,21.42867133,21.89380619,22.35374625,22.8001998,23.22937063,23.63776224,24.03736264,24.44535465,24.86143856,25.29010989,25.72787213,26.16733267,26.61818182,27.09070929,27.56693307,28.04505495,28.56413586,29.1047952,29.62127872,30.11598402,30.5962038,31.05934066,31.50529471,31.92947053,32.35114885,32.75084915,33.12827173,33.52827173,33.94425574,34.35504496,34.8026973,35.2981019,35.77622378,36.24475524,36.71108891,37.13576424,37.50939061,37.85744256,38.19160839,38.4961039,38.76673327,39.00949051,39.23246753,39.42807193,39.54675325,39.5977023,39.71408591,,"Bahamas, The",BHS,Population density (people per sq. km of land area),EN.POP.DNST,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.70734375,76.25941406,72.76195313,72.56960937,75.68839844,78.48099609,79.87023437,80.67001953,81.24552734,81.62964844,81.79691406,81.61177734,80.87865234,80.00962891,79.36078125,78.3871875,77.10046875,75.77722656,74.4428125,73.08199219,71.68189453,70.52458984,69.62556641,68.72150391,67.83208984,66.96644531,66.15234375,65.34244141,64.44041016,63.37708984,62.59378906,,Bosnia and Herzegovina,BIH,Population density (people per sq. km of land area),EN.POP.DNST,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.34529488,50.4655186,50.40938396,50.24859022,50.08315833,49.87519657,49.65741092,49.43297754,49.19747791,48.9467226,48.639731,48.30124836,47.97547519,47.64468799,47.33728266,47.12127096,46.95855635,46.84414336,46.74096855,46.62975211,46.5593029,46.53937252,46.55060033,46.61133719,46.64994482,46.59875953,46.50105922,46.41075062,46.21121293,45.83683173,45.46071728,,Belarus,BLR,Population density (people per sq. km of land area),EN.POP.DNST,,
,4.104866287,4.210521701,4.327224901,4.454318281,4.588996054,4.730644454,4.878211311,5.029066199,5.174923279,5.293117054,5.383822885,5.465848312,5.543402017,5.619684349,5.716220956,5.835116177,5.95734327,6.0812363,6.211223148,6.359579132,6.522840859,6.687768523,6.85212626,7.016396317,7.180885577,7.345637878,7.511530031,7.679964928,7.85212626,8.026128891,8.199912319,8.372775099,8.544585708,8.728496274,8.949846559,9.220078913,9.532924156,9.871679088,10.21740465,10.5567295,10.88903989,11.22354231,11.56422622,11.91091626,12.26352477,12.62069268,12.98114862,13.34331434,13.70512933,14.03967558,14.34888207,14.6608505,14.97707146,15.29693117,15.62178869,15.98882069,16.36133275,16.66926786,16.91490574,17.13336256,17.33213503,17.65598422,,Belize,BLZ,Population density (people per sq. km of land area),EN.POP.DNST,,
,798.5740741,819.2407407,839.6296296,859.4444444,878.9074074,898.7777778,916.9259259,933.4074074,950.1111111,965.2592593,974.2037037,977.8333333,980.4814815,982.5185185,983.8703704,985.3703704,987.4444444,989.462963,991.0555556,993.9444444,999.9444444,1007.166667,1014.388889,1021.648148,1028.648148,1034.981481,1041.944444,1049.981481,1057.944444,1065.907407,1073.777778,1081.611111,1089.185185,1096.185185,1102.333333,1107.648148,1114.388889,1122.944444,1131.925926,1139.814815,1145.685185,1150.777778,1155.296296,1158.425926,1161.314815,1163.592593,1166.851852,1172.222222,1177.12963,1180.092593,1180.240741,1178.62963,1177.296296,1176.462963,1175.259259,1174.981481,1177.37037,1182.055556,1187.166667,1192.259259,1197.185185,1199.055556,,Bermuda,BMU,Population density (people per sq. km of land area),EN.POP.DNST,,
,3.488166713,3.560872335,3.63603157,3.713649035,3.793774578,3.876626973,3.962496077,4.051457583,4.143110865,4.237062679,4.333372104,4.431808363,4.532631773,4.636273424,4.742489615,4.852299455,4.965536786,5.080885258,5.197866704,5.316071264,5.43534478,5.555329087,5.676230038,5.79882581,5.922814548,6.048628265,6.177570387,6.309893843,6.444905382,6.581872058,6.720473553,6.858982738,6.996395274,7.133132096,7.269155359,7.404907228,7.539831995,7.674138281,7.809291978,7.944545371,8.079697221,8.215965107,8.354749377,8.496526355,8.640961876,8.789521831,8.941161267,9.093379489,9.246076802,9.399376904,9.553151482,9.707197452,9.861172344,10.0146663,10.16773285,10.32033601,10.47224868,10.6234358,10.77391858,10.90768854,11.0194406,11.14848518,,Bolivia,BOL,Population density (people per sq. km of land area),EN.POP.DNST,,
,8.926082478,9.19646273,9.471513399,9.749608765,10.02825784,10.30604405,10.58203428,10.85663078,11.13235445,11.41110953,11.69390235,11.98194778,12.27557519,12.5733327,12.87601847,13.18634876,13.50483385,13.83094109,14.1635365,14.50172658,14.84338728,15.18557418,15.52858375,15.87181646,16.21360674,16.5510951,16.88233794,17.20793825,17.52817876,17.84406854,18.15287325,18.45806352,18.75950594,19.05507757,19.35060588,19.64582419,19.94004156,20.23891141,20.53585403,20.82021622,21.09335366,21.35684303,21.61039274,21.85595635,22.09679438,22.33189513,22.5591244,22.77627582,22.98118373,23.17524342,23.36461629,23.55501475,23.74670668,23.93895376,24.12923593,24.31379637,24.49150708,24.65946502,24.82076862,24.96498527,25.07140273,25.16186795,,Brazil,BRA,Population density (people per sq. km of land area),EN.POP.DNST,,
