1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Country Name,Country Code,Indicator Name,Indicator Code,data_country,data_year
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.04751,1.06198,1.00968,0.99939,0.96343,1.00246,0.98807,1.08138,1.12904,1.11866,1.15992,1.13966,1.12684,1.19567,1.26971,1.37093,1.28637,1.1175,1.16769,1.21096,1.14526,,,,,Brazil,BRA,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barbados,BRB,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01592,0.01842,0.03701,,,,,,,,,,,,,,0.27764,,,,,,,Brunei Darussalam,BRN,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bhutan,BTN,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.53286,,,,,,,0.26759,0.561,,,,,,,,,,,,Botswana,BWA,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Central African Republic,CAF,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.60682,1.61386,1.71051,1.74985,1.85848,2.02117,1.97171,1.96781,1.99734,1.97127,1.94304,1.90358,1.85578,1.91742,1.82504,1.78714,1.77304,1.70624,1.71483,1.69359,1.72903,1.68702,1.7372,1.75578,1.93414,1.86431,1.71166,1.70133,,Canada,CAN,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.724108106,0.749990682,0.732519977,0.737009736,0.745471517,0.749544672,0.738595467,0.730851296,0.734040263,0.735030027,0.751262532,0.755530283,0.780852525,0.824542664,0.872153089,0.953445785,1.052627555,1.065593881,1.091094659,1.141146175,1.02647663,1.086339271,1.192592627,1.247117346,1.307204512,1.329953111,1.31229304,,,Central Europe and the Baltics,CEB,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.37649,,,,2.26386,,,,2.60818,,,,2.65296,,,,2.87457,,,3.07832,,3.07698,,3.1968,,3.30645,,,,Switzerland,CHE,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Channel Islands,CHI,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31143,0.37492,0.35403,0.33165,0.35288,0.36213,0.3903,0.37668,0.38296,0.37103,0.35679,0.36916,0.34243,0.33525,0.36041,,,,Chile,CHL,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.56324,0.63873,0.64689,0.74963,0.89316,0.94033,1.05786,1.12037,1.21498,1.30792,1.36854,1.37369,1.44592,1.6648,1.71372,1.78034,1.91214,1.99786,2.02243,2.05701,2.10033,2.11603,2.14058,2.24463,2.40666,2.4326,2.55518,,,China,CHN,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06975,,,,,,,,,Cote d'Ivoire,CIV,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cameroon,CMR,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26777,0.05799,0.06044,0.13609,0.08253,0.07822,,,,,,0.40638,,,,,,,,,,"Congo, Dem. Rep.",COD,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.38339,,,"Congo, Rep.",COG,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13106,0.1329,0.15559,0.17398,0.16964,0.16557,0.16427,0.18307,0.19541,0.19351,0.19358,0.19842,0.22116,0.25761,0.30317,0.36542,0.27051,0.26109,0.31233,0.32201,0.2894,,,,,Colombia,COL,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Comoros,COM,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06622,,,,,,,,,,,,,,Cabo Verde,CPV,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.30221,0.29569,0.26526,0.36759,0.41135,,,0.3619,0.37288,,0.42693,0.35655,0.38593,0.51718,0.4799,0.46235,0.54713,0.54253,0.55627,0.43665,0.44335,0.42587,0.37144,,0.33002,0.27385,0.33789,,,Costa Rica,CRI,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Caribbean small states,CSS,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.34736,0.40172,0.50124,0.45832,0.47865,0.5653,0.56445,0.58243,0.60231,0.5492,0.44139,0.43615,0.50061,0.61485,0.60767,0.27192,0.40716,0.47467,0.41596,0.42854,0.34223,0.43066,0.53691,0.55308,0.51838,0.32282,0.36012,,,Cuba,CUB,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Curacao,CUW,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cayman Islands,CYM,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20331,0.21806,0.2269,0.23694,0.27967,0.31834,0.33564,0.36727,0.38346,0.40007,0.38594,0.44437,0.44292,0.45263,0.43765,0.48485,0.51205,0.47529,0.5197,0.54259,0.61405,0.70945,0.83654,0.8003,0.74527,,,Cyprus,CYP,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.88912,0.98819,1.06022,1.04957,1.10997,1.09871,1.09819,1.1421,1.13935,1.161,1.22542,1.29572,1.23358,1.28656,1.3267,1.54477,1.76967,1.87924,1.95833,1.91689,1.67003,1.76855,1.89906,1.92734,1.98599,1.99601,1.9642,,,Czechia,CZE,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.14461,2.18832,2.21613,2.34779,2.40982,2.40437,2.43622,2.47461,2.43519,2.44193,2.47232,2.46048,2.61513,2.74266,2.73024,2.80555,2.88166,2.83599,2.87784,2.93379,2.94039,3.0471,3.11011,3.16701,3.13136,3.12882,3.13236,,,Germany,DEU,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Djibouti,DJI,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dominica,DMA,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.80667,1.88914,2.00619,2.12764,2.1862,2.32466,2.44145,2.51085,2.41916,2.39337,2.403,2.51541,2.77346,3.05514,2.91707,2.94465,2.98125,2.97048,2.91409,3.05497,3.09283,2.93124,2.96603,2.89685,2.97258,2.76142,2.89051,,,Denmark,DNK,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dominican Republic,DOM,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21219,0.33807,0.18122,0.15186,0.06367,,,,,,,,,,,,0.47865,,,,,,,,Algeria,DZA,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.462361138,0.564097275,0.626773528,0.693086281,0.729039695,0.79887177,0.910531318,1.005424951,1.106616147,1.178799074,1.24929117,1.246777152,1.345815358,1.403807773,1.685310949,1.616257389,1.881226233,1.711756554,1.943078559,1.908125808,1.906497383,1.903498707,1.915558087,2.027676864,2.201148857,2.351976351,2.508003238,,,East Asia & Pacific (excluding high income),EAP,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.592311344,0.605692627,0.622474302,0.604400202,0.613727583,0.602287368,0.628878913,0.643527568,0.680471088,0.614444022,0.720453102,0.710838616,0.699800681,0.617794567,,0.721162997,0.754022628,0.720336869,0.735970249,0.762227767,0.822154331,,,,,Early-demographic dividend,EAR,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.184408092,2.259658481,2.226664657,2.296230954,2.23193537,2.277326001,2.242899684,2.325201945,2.311041918,2.392992565,2.393206842,2.343907063,2.346783804,2.244756365,2.393537623,2.325194937,2.478970568,2.274348471,2.470154517,2.319348858,2.336810348,2.31331347,2.352901838,2.392587253,2.576667702,2.626274706,2.816696758,,,East Asia & Pacific,EAS,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.610571012,0.463794052,0.525410313,0.497376728,0.53708639,0.537353385,0.502384051,0.512543645,0.561477835,0.541370515,0.616990906,0.603261874,0.669787997,0.650148116,0.623549538,0.642800007,0.624183278,0.6322809,0.694319074,0.801488363,0.811015212,0.830287891,0.828587315,0.850288872,0.858389167,0.811155262,,,Europe & Central Asia (excluding high income),ECA,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,
